Time: 2026-06-11 17:59:05 | PID: 14520 | nvcontainer.exe | Memory: 53484 KB | Risk: LOW (0) | Source: 127.0.0.1:30795 | Destination: 127.0.0.1:30794
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:31218 | Destination: 91.222.185.233:443
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:31219 | Destination: 91.222.185.233:443
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:31220 | Destination: 91.222.185.233:443
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:31221 | Destination: 91.222.185.233:443
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:31222 | Destination: 91.222.185.233:443
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:31223 | Destination: 91.222.185.233:443
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:31224 | Destination: 91.222.185.233:443
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:31227 | Destination: 91.222.185.233:443
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:31228 | Destination: 91.222.185.233:443
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:31230 | Destination: 91.222.185.233:443
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:31231 | Destination: 91.222.185.233:443
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:31232 | Destination: 91.222.185.233:443
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:31233 | Destination: 91.222.185.233:443
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:31234 | Destination: 91.222.185.233:443
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:31235 | Destination: 91.222.185.233:443
Time: 2026-06-11 17:59:05 | PID: 26720 | python.exe | Memory: 17212 KB | Risk: LOW (0) | Source: 127.0.0.1:31236 | Destination: 127.0.0.1:5000
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:31466 | Destination: 52.182.143.215:443
Time: 2026-06-11 17:59:05 | PID: 6192 | firefox.exe | Memory: 237496 KB | Risk: LOW (0) | Source: 127.0.0.1:33904 | Destination: 127.0.0.1:33905
Time: 2026-06-11 17:59:05 | PID: 6192 | firefox.exe | Memory: 237496 KB | Risk: LOW (0) | Source: 127.0.0.1:33905 | Destination: 127.0.0.1:33904
Time: 2026-06-11 17:59:05 | PID: 18300 | firefox.exe | Memory: 2888 KB | Risk: LOW (0) | Source: 127.0.0.1:33906 | Destination: 127.0.0.1:33907
Time: 2026-06-11 17:59:05 | PID: 18300 | firefox.exe | Memory: 2888 KB | Risk: LOW (0) | Source: 127.0.0.1:33907 | Destination: 127.0.0.1:33906
Time: 2026-06-11 17:59:05 | PID: 18908 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 0.0.0.0:34963 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:39943 | Destination: 91.222.185.233:443
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:39944 | Destination: 91.222.185.233:443
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:39945 | Destination: 91.222.185.233:443
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:39946 | Destination: 91.222.185.233:443
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:39947 | Destination: 91.222.185.233:443
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:39948 | Destination: 91.222.185.233:443
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:39950 | Destination: 91.222.185.233:443
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:39951 | Destination: 91.222.185.233:443
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:39952 | Destination: 91.222.185.233:443
Time: 2026-06-11 17:59:05 | PID: 0 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:39953 | Destination: 91.222.185.233:443
Time: 2026-06-11 17:59:05 | PID: 26592 | Voicemod.exe | Memory: 25904 KB | Risk: LOW (0) | Source: 0.0.0.0:39998 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 25500 | steam.exe | Memory: 94596 KB | Risk: LOW (0) | Source: 192.168.1.83:40518 | Destination: 162.254.199.165:27018
Time: 2026-06-11 17:59:05 | PID: 9500 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:41741 | Destination: 172.183.7.194:443
Time: 2026-06-11 17:59:05 | PID: 4812 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:41757 | Destination: 35.233.244.198:443
Time: 2026-06-11 17:59:05 | PID: 26024 | GalaxyCommunication.exe | Memory: 7652 KB | Risk: LOW (0) | Source: 127.0.0.1:42624 | Destination: 127.0.0.1:42625
Time: 2026-06-11 17:59:05 | PID: 26024 | GalaxyCommunication.exe | Memory: 7652 KB | Risk: LOW (0) | Source: 127.0.0.1:42625 | Destination: 127.0.0.1:42624
Time: 2026-06-11 17:59:05 | PID: 26024 | GalaxyCommunication.exe | Memory: 7652 KB | Risk: LOW (0) | Source: 127.0.0.1:42629 | Destination: 127.0.0.1:42630
Time: 2026-06-11 17:59:05 | PID: 26024 | GalaxyCommunication.exe | Memory: 7652 KB | Risk: LOW (0) | Source: 127.0.0.1:42630 | Destination: 127.0.0.1:42629
Time: 2026-06-11 17:59:05 | PID: 16092 | GalaxyClient.exe | Memory: 39988 KB | Risk: LOW (0) | Source: 127.0.0.1:42635 | Destination: 127.0.0.1:9977
Time: 2026-06-11 17:59:05 | PID: 16092 | GalaxyClient.exe | Memory: 39988 KB | Risk: LOW (0) | Source: 127.0.0.1:42643 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 16092 | GalaxyClient.exe | Memory: 39988 KB | Risk: LOW (0) | Source: 192.168.1.83:42663 | Destination: 91.222.185.232:443
Time: 2026-06-11 17:59:05 | PID: 26592 | Voicemod.exe | Memory: 25904 KB | Risk: LOW (0) | Source: 127.0.0.1:42825 | Destination: 127.0.0.1:42842
Time: 2026-06-11 17:59:05 | PID: 26592 | Voicemod.exe | Memory: 25904 KB | Risk: LOW (0) | Source: 127.0.0.1:42825 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 26592 | Voicemod.exe | Memory: 25904 KB | Risk: LOW (0) | Source: 127.0.0.1:42842 | Destination: 127.0.0.1:42825
Time: 2026-06-11 17:59:05 | PID: 26024 | GalaxyCommunication.exe | Memory: 7652 KB | Risk: LOW (0) | Source: 127.0.0.1:43617 | Destination: 127.0.0.1:43618
Time: 2026-06-11 17:59:05 | PID: 26024 | GalaxyCommunication.exe | Memory: 7652 KB | Risk: LOW (0) | Source: 127.0.0.1:43618 | Destination: 127.0.0.1:43617
Time: 2026-06-11 17:59:05 | PID: 26756 | lghub_agent.exe | Memory: 22088 KB | Risk: LOW (0) | Source: 127.0.0.1:45654 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 28844 | msedge.exe | Memory: 22988 KB | Risk: LOW (0) | Source: 192.168.1.83:47220 | Destination: 192.168.1.154:8009
Time: 2026-06-11 17:59:05 | PID: 1796 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 0.0.0.0:49664 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 1644 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 0.0.0.0:49665 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 2688 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 0.0.0.0:49666 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 3364 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 0.0.0.0:49667 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 9900 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 127.0.0.1:49675 | Destination: 127.0.0.1:4012
Time: 2026-06-11 17:59:05 | PID: 12084 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 127.0.0.1:49678 | Destination: 127.0.0.1:49679
Time: 2026-06-11 17:59:05 | PID: 12084 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 127.0.0.1:49679 | Destination: 127.0.0.1:49678
Time: 2026-06-11 17:59:05 | PID: 1728 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 0.0.0.0:49682 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 16816 | Code.exe | Memory: 470540 KB | Risk: MEDIUM (3) | Source: 127.0.0.1:52195 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 25500 | steam.exe | Memory: 94596 KB | Risk: LOW (0) | Source: 127.0.0.1:52207 | Destination: 127.0.0.1:52227
Time: 2026-06-11 17:59:05 | PID: 25500 | steam.exe | Memory: 94596 KB | Risk: LOW (0) | Source: 127.0.0.1:52207 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 25500 | steam.exe | Memory: 94596 KB | Risk: LOW (0) | Source: 127.0.0.1:52209 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 25500 | steam.exe | Memory: 94596 KB | Risk: LOW (0) | Source: 127.0.0.1:52209 | Destination: 127.0.0.1:52226
Time: 2026-06-11 17:59:05 | PID: 23620 | steamwebhelper.exe | Memory: 12748 KB | Risk: LOW (0) | Source: 127.0.0.1:52226 | Destination: 127.0.0.1:52209
Time: 2026-06-11 17:59:05 | PID: 23620 | steamwebhelper.exe | Memory: 12748 KB | Risk: LOW (0) | Source: 127.0.0.1:52227 | Destination: 127.0.0.1:52207
Time: 2026-06-11 17:59:05 | PID: 28844 | msedge.exe | Memory: 22988 KB | Risk: LOW (0) | Source: 192.168.1.83:53035 | Destination: 172.183.7.194:443
Time: 2026-06-11 17:59:05 | PID: 14208 | RazerCortex.exe | Memory: 0 KB | Risk: LOW (0) | Source: 127.0.0.1:55000 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 5296 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:57760 | Destination: 20.33.3.2:443
Time: 2026-06-11 17:59:05 | PID: 8120 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 192.168.1.83:59838 | Destination: 51.116.246.104:443
Time: 2026-06-11 17:59:05 | PID: 6192 | firefox.exe | Memory: 237496 KB | Risk: LOW (0) | Source: 192.168.1.83:60965 | Destination: 34.107.243.93:443
Time: 2026-06-11 17:59:05 | PID: 11672 | Code.exe | Memory: 444244 KB | Risk: MEDIUM (3) | Source: 127.0.0.1:61016 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 4 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 0.0.0.0:80 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 4 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 0.0.0.0:445 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 12084 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 0.0.0.0:3306 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 4 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 0.0.0.0:5357 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 4 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 0.0.0.0:5426 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 12084 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 0.0.0.0:33060 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 9900 | UNKNOWN | Memory: 0 KB | Risk: MEDIUM (5) | Source: 0.0.0.0:49675 | Destination: 0.0.0.0:0
Time: 2026-06-11 17:59:05 | PID: 26592 | Voicemod.exe | Memory: 25904 KB | Risk: LOW (0) | Source: 0.0.0.0:59129 | Destination: 0.0.0.0:0
